period,runs,image_completed,video_completed,errors,success_rate,latency_mean_s,source_bytes
2026-06,4,40,4,6,0.88,134.32190635451505,246115977
2026-07,17,791,75,25,0.9719416386083053,120.81055179828996,4866023645
2026-08,10,1948,42,14,0.9930139720558883,55.2787385540238,11973797388
