date,tag,run_id,image_completed,video_completed,errors,success_rate,latency_mean_s,latency_p50_s,latency_p90_s,latency_p95_s,started_at,finished_at,source_bytes,file_count,digest,models,categories,error_classes
2026-07-20,media-exp-2026-07-20,run_20260720_085337,1,4,2,0.7142857142857143,377.14285714285717,188.0,834.6000000000005,1225.799999999999,2026-07-20T08:53:38+08:00,2026-07-20T09:48:28+08:00,20125385,7,097de06d76fa3ef36ef75ad7a2c02aa9806226e2d18e31972df25f8d22c30674,"{""agnes-image-2.1-flash"": 2, ""agnes-video-v2.0"": 10}","{""marketing-video"": 1, ""nature"": 1, ""product"": 1, ""product-video"": 1, ""taiwan-asia-urban"": 1}","{""server_busy"": 1, ""transient_or_duplicate"": 1}"
2026-07-21,media-exp-2026-07-21,run_20260721_084259,3,4,2,0.7777777777777778,164.66666666666666,153.0,212.8,260.4,2026-07-21T08:42:59+08:00,2026-07-21T09:21:31+08:00,30512884,9,6e93585f956752d595e26146f4960b4016520fa7e9205dd0ad54675df584be34,"{""agnes-image-2.1-flash"": 4, ""agnes-video-v2.0"": 10}","{""marketing-video"": 1, ""nature"": 1, ""product"": 3, ""product-video"": 1, ""taiwan-asia-urban"": 1}","{""server_busy"": 1, ""transient_or_duplicate"": 1}"
2026-07-22,media-exp-2026-07-22,run_20260722_104330,1,7,1,0.8888888888888888,183.77777777777777,194.0,219.0,219.0,2026-07-22T10:43:30+08:00,2026-07-22T11:28:54+08:00,31366786,10,7b7971a143214ec14d721a814e3479898daab6ebcec936aeed4e27435929e2a3,"{""agnes-image-2.1-flash"": 2, ""agnes-video-v2.0"": 14}","{""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 1, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1}","{""server_busy"": 1}"
2026-07-23,media-exp-2026-07-23,run_20260723_090303,0,2,2,0.5,142.0,154.0,252.5,253.25,2026-07-23T09:03:03+08:00,2026-07-23T09:17:11+08:00,3714236,4,2e9f122c46eef5d9b4d9f08dcd4c8d20a88d37ae39ae235a64286fba9c8cbc11,"{""agnes-image-2.1-flash"": 1, ""agnes-video-v2.0"": 5}","{""marketing-video"": 1, ""product-video"": 1}","{""server_busy"": 2}"
2026-07-27,media-exp-2026-07-27,run_20260727_103816,0,0,2,0.0,80.5,80.5,144.1,152.04999999999998,2026-07-27T10:38:16+08:00,2026-07-27T10:40:57+08:00,1962,1,6ac9305169dcee9dac9399118767103226e3e63c99dcf1c6805c21c39edfe7d8,"{""agnes-image-2.1-flash"": 1, ""agnes-video-v2.0"": 1}",{},"{""server_busy"": 2}"
2026-07-28,media-exp-2026-07-28,run_20260728_083739,306,4,2,0.9935897435897436,59.39423076923077,51.0,71.0,98.24999999999994,2026-07-28T08:37:39+08:00,2026-07-28T21:34:55+08:00,1847454417,312,a0135c287ee41ba3f68e454326277c94a3c78a5047d50700ec01b81ce2c63e59,"{""agnes-image-2.1-flash"": 307, ""agnes-video-v2.0"": 10}","{""architecture"": 28, ""ecommerce"": 30, ""editorial-design"": 30, ""food"": 26, ""lifestyle"": 26, ""marketing"": 32, ""marketing-video"": 1, ""music"": 17, ""nature"": 28, ""product"": 32, ""product-video"": 1, ""taiwan-asia-urban"": 1, ""travel"": 26, ""ui-app-assets"": 32}","{""server_busy"": 1, ""transient_or_duplicate"": 1}"
2026-07-29,media-exp-2026-07-29,run_20260729_123054,113,7,1,0.9917355371900827,77.69421487603306,63.0,114.0,194.0,2026-07-29T12:30:54+08:00,2026-07-29T18:13:25+08:00,650357474,122,da18bbb39e08efad9ae6711b4f268ff0faa0415d2d3080bfeaa987d84dc48b3a,"{""agnes-image-2.1-flash"": 114, ""agnes-video-v2.0"": 14}","{""architecture"": 28, ""ecommerce"": 21, ""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 32}","{""server_busy"": 1}"
2026-07-30,media-exp-2026-07-30,run_20260730_093754,9,7,1,0.9411764705882353,142.05882352941177,160.0,224.4,225.0,2026-07-30T09:37:54+08:00,2026-07-30T10:47:59+08:00,75993817,18,1e143e70215da912429aa73dd1e3b4d32c4e0d4d3eb9feb2c4beed794b2bbfe4,"{""agnes-image-2.1-flash"": 10, ""agnes-video-v2.0"": 14}","{""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 9, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1}","{""server_busy"": 1}"
2026-07-31,media-exp-2026-07-31,run_20260731_113040,4,7,1,0.9166666666666666,212.25,223.0,281.0,426.19999999999976,2026-07-31T11:30:41+08:00,2026-07-31T12:35:29+08:00,47639984,13,96bd4aaf54a29598917f0b7e64d52feb988f0ebfb71228095ace34ed71315770,"{""agnes-image-2.1-flash"": 5, ""agnes-video-v2.0"": 14}","{""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 4, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1}","{""server_busy"": 1}"
2026-08-03,media-exp-2026-08-03,run_20260803_084658,62,7,1,0.9857142857142858,90.07142857142857,61.5,192.2,224.0,2026-08-03T08:46:58+08:00,2026-08-03T12:21:23+08:00,423546309,71,0c8fd53e0c22a1cb3d7415769ad2daa363bc7b84f8feb3d7035adb849d0a39de,"{""agnes-image-2.1-flash"": 63, ""agnes-video-v2.0"": 14}","{""architecture"": 28, ""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 2}","{""server_busy"": 1}"
2026-08-04,media-exp-2026-08-04,run_20260804_110456,62,7,1,0.9857142857142858,56.871428571428574,41.0,131.0,135.1,2026-08-04T11:04:56+08:00,2026-08-04T14:00:38+08:00,418982724,71,de20fe077e9efe78b4ce83c2b6ee1dcfa3ac04483cb686f7b12df651219e9c8d,"{""agnes-image-2.1-flash"": 63, ""agnes-video-v2.0"": 14}","{""architecture"": 28, ""educational-video"": 1, ""fantasy-video"": 1, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 2}","{""bad_request_or_config"": 1}"
2026-08-05,media-exp-2026-08-05,run_20260805_120437,161,7,1,0.9940828402366864,55.33136094674556,43.0,86.40000000000012,131.79999999999998,2026-08-05T12:04:38+08:00,2026-08-05T18:58:22+08:00,903374279,170,2f3c1e57ebceb80441d5bd03c63c0a183859f5f38898ae04cb4c3f582fca22c8,"{""agnes-image-2.1-flash"": 162, ""agnes-video-v2.0"": 14}","{""architecture"": 28, ""ecommerce"": 30, ""editorial-design"": 7, ""educational-video"": 1, ""fantasy-video"": 1, ""marketing"": 32, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 32}","{""server_busy"": 1}"
2026-08-06,media-exp-2026-08-06,run_20260806_083840,550,6,1,0.9982046678635548,41.53141831238779,33.0,61.0,82.5999999999998,2026-08-06T08:38:41+08:00,2026-08-07T05:01:51+08:00,3437104511,558,228bb28bbb381eda299ac14f7127a2c5339c9f4e2cd3e9d2bad27682bfb2aa4e,"{""agnes-image-2.1-flash"": 550, ""agnes-video-v2.0"": 13}","{""abstract-concept"": 30, ""architecture"": 28, ""ecommerce"": 30, ""editorial-design"": 30, ""educational-diagram"": 31, ""fantasy"": 31, ""fantasy-video"": 1, ""fashion"": 26, ""food"": 26, ""game-asset"": 30, ""high-density"": 30, ""lifestyle"": 26, ""marketing"": 32, ""marketing-video"": 1, ""music"": 26, ""nature"": 28, ""product"": 32, ""product-video"": 1, ""sci-fi"": 31, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 27, ""travel"": 26, ""ui-app-assets"": 32}","{""server_busy"": 1}"
2026-08-07,media-exp-2026-08-07,run_20260807_155332,438,3,2,0.9954853273137697,33.690744920993225,30.0,40.0,49.0,2026-08-07T15:53:32+08:00,2026-08-08T07:06:22+08:00,2744803714,443,1bc466508ff4297bc86633c5cbefd71a539cf11ac0760d29fc2f3d0102d91485,"{""agnes-image-2.1-flash"": 439, ""agnes-video-v2.0"": 7}","{""architecture"": 28, ""ecommerce"": 30, ""editorial-design"": 30, ""educational-diagram"": 9, ""fantasy"": 31, ""fashion"": 26, ""food"": 26, ""lifestyle"": 26, ""marketing"": 32, ""marketing-video"": 1, ""music"": 26, ""nature"": 28, ""product"": 32, ""product-video"": 1, ""sci-fi"": 31, ""taiwan-asia-urban"": 26, ""travel"": 26, ""ui-app-assets"": 32}","{""bad_request_or_config"": 1, ""server_busy"": 1}"
2026-08-10,media-exp-2026-08-10,run_20260810_104859,350,1,2,0.9943342776203966,41.036827195467424,34.0,68.0,80.79999999999995,2026-08-10T10:49:00+08:00,2026-08-10T23:37:50+08:00,2125970091,353,1426e2e4906488c53e5d6c49bb17926f390fc421fbc5f5a9c77cba96600061b9,"{""agnes-image-2.1-flash"": 351, ""agnes-video-v2.0"": 3}","{""architecture"": 28, ""ecommerce"": 30, ""editorial-design"": 30, ""fashion"": 26, ""food"": 26, ""lifestyle"": 26, ""marketing"": 32, ""music"": 26, ""nature"": 27, ""product"": 32, ""product-video"": 1, ""taiwan-asia-urban"": 9, ""travel"": 26, ""ui-app-assets"": 32}","{""server_busy"": 2}"
2026-08-11,media-exp-2026-08-11,run_20260811_172818,20,0,2,0.9090909090909091,51.31818181818182,37.0,94.10000000000004,123.54999999999998,2026-08-11T17:28:19+08:00,2026-08-11T18:17:08+08:00,117161492,22,e161acc19b4d544b3809092aaa9373c79b6d67fd9f80da12de4873cc6844d5a5,"{""agnes-image-2.1-flash"": 21, ""agnes-video-v2.0"": 1}","{""product"": 20}","{""server_busy"": 2}"
2026-08-12,media-exp-2026-08-12,run_20260812_092750,71,4,2,0.974025974025974,72.01298701298701,49.0,153.8,159.8,2026-08-12T09:27:50+08:00,2026-08-12T12:56:06+08:00,451344708,77,09ea37eebcd773daaeb1686d46a9cbef1673d346d80504d4915e4a3b6492b488,"{""agnes-image-2.1-flash"": 72, ""agnes-video-v2.0"": 9}","{""architecture"": 28, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 11}","{""server_busy"": 2}"
2026-08-14,media-exp-2026-08-14,run_20260814_103007,151,7,0,1.0,50.075949367088604,36.0,117.0,129.45000000000002,2026-08-14T10:30:07+08:00,2026-08-14T16:43:24+08:00,867133873,159,63623888119dea353e239daa56b7acddfe4f99d064503650fda989e20c6b8abc,"{""agnes-image-2.1-flash"": 151, ""agnes-video-v2.0"": 14}","{""architecture"": 28, ""ecommerce"": 30, ""educational-video"": 1, ""fantasy-video"": 1, ""marketing"": 29, ""marketing-video"": 1, ""nature"": 1, ""product"": 32, ""product-video"": 1, ""sci-fi-video"": 1, ""taiwan-asia-urban"": 1, ""ui-app-assets"": 32}",{}
2026-08-19,media-exp-2026-08-19,run_20260819_131812,83,0,2,0.9764705882352941,60.84705882352941,43.0,128.60000000000002,161.39999999999998,2026-08-19T13:18:13+08:00,2026-08-19T16:48:55+08:00,484375687,85,7329891738fadebbf678ad58bf031d0eb69804cd7daf400a04e88844587a8e8e,"{""agnes-image-2.1-flash"": 84, ""agnes-video-v2.0"": 1}","{""architecture"": 28, ""product"": 32, ""ui-app-assets"": 23}","{""server_busy"": 2}"
